iteration,trial_id,score,config
304,476b1d14,0.5936619718309859,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 14, 'kernel': 4, 'num_HL': 2, 'latent_dim': 86, 'opt_lr': 2.764771305939354e-05, 'opt_wd': 1.9894224878247017e-06}"
522,9cb66704,0.6056338028169014,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 20, 'kernel': 3, 'num_HL': 3, 'latent_dim': 600, 'opt_lr': 0.00010327207018795592, 'opt_wd': 2.1933455530404147e-06}"
669,d7ef80b5,0.6525821596244132,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 29, 'kernel': 4, 'num_HL': 4, 'latent_dim': 591, 'opt_lr': 2.480137095667193e-05, 'opt_wd': 9.42053254982789e-06}"
860,f7eec174,0.5967136150234742,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 14, 'kernel': 2, 'num_HL': 4, 'latent_dim': 97, 'opt_lr': 0.00013176698015106904, 'opt_wd': 4.327060218008612e-06}"
864,9cc46c26,0.6610328638497653,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 28, 'kernel': 3, 'num_HL': 3, 'latent_dim': 650, 'opt_lr': 4.990742318086314e-05, 'opt_wd': 7.69590053271617e-06}"
949,62522c22,0.5084507042253521,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 15, 'kernel': 3, 'num_HL': 3, 'latent_dim': 239, 'opt_lr': 0.0002554994207543594, 'opt_wd': 3.1959785502963534e-06}"
1216,6d806d46,0.665962441314554,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 28, 'kernel': 3, 'num_HL': 2, 'latent_dim': 560, 'opt_lr': 1.2335764632326586e-05, 'opt_wd': 2.7864391721541697e-06}"
1384,4eb51c60,0.6467136150234742,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 5, 'kernel': 2, 'num_HL': 4, 'latent_dim': 636, 'opt_lr': 2.7552404397005303e-05, 'opt_wd': 1.6912030430295734e-06}"
1842,782c5dfb,0.6450704225352113,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 31, 'kernel': 4, 'num_HL': 3, 'latent_dim': 697, 'opt_lr': 0.00028849197753844547, 'opt_wd': 1.1358710517342275e-07}"
1853,a923c94e,0.6218309859154928,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 26, 'kernel': 3, 'num_HL': 3, 'latent_dim': 454, 'opt_lr': 0.00031318147936331016, 'opt_wd': 5.98031422250408e-07}"
1938,59bfe117,0.5600938967136151,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 17, 'kernel': 2, 'num_HL': 3, 'latent_dim': 336, 'opt_lr': 2.338073144031856e-05, 'opt_wd': 6.883821437367792e-06}"
