iteration,trial_id,score,config
2071,dd78ad5f,0.5181769147788565,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 23, 'kernel': 4, 'num_HL': 3, 'm_lambda': 2.5109726700197146, 'latent_dim': 32, 'opt_lr': 0.0002138502316771243, 'opt_wd': 3.4691067476191688e-06}"
3390,c1171266,0.4403451995685006,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 32, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.046817526365729, 'latent_dim': 140, 'opt_lr': 0.0008275702251757624, 'opt_wd': 1.0118722831344018e-06}"
11854,d52e641d,0.5240560949298814,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 8, 'kernel': 3, 'num_HL': 2, 'm_lambda': 2.466642032690937, 'latent_dim': 95, 'opt_lr': 0.00026347807713237524, 'opt_wd': 1.6839582987978754e-06}"
12184,f21683d0,0.5555555555555556,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 30, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.49132671873849243, 'latent_dim': 6, 'opt_lr': 0.0006629205311630248, 'opt_wd': 8.970573405225888e-06}"
17702,e7507fd5,0.5318230852211435,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 17, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.1758072586154, 'latent_dim': 122, 'opt_lr': 7.354630575231922e-05, 'opt_wd': 6.001387923120843e-06}"
24486,776755b6,0.5278856526429341,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 10, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.221182522283071, 'latent_dim': 70, 'opt_lr': 5.234658296719343e-05, 'opt_wd': 4.614742825768943e-06}"
25363,0b4d11f2,0.5073894282632148,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 19, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.9585512765144392, 'latent_dim': 14, 'opt_lr': 2.7229260736193154e-05, 'opt_wd': 3.910473309126417e-06}"
25448,0725d65f,0.502049622437972,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 21, 'kernel': 3, 'num_HL': 4, 'm_lambda': 1.8272335487281781, 'latent_dim': 167, 'opt_lr': 0.00019387505902254202, 'opt_wd': 6.7034334821358626e-06}"
26860,e1ab4a41,0.6769687162891047,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 31, 'kernel': 4, 'num_HL': 4, 'm_lambda': 0.5388752824154955, 'latent_dim': 152, 'opt_lr': 1.7249719484583e-05, 'opt_wd': 1.0578244706265584e-06}"
26894,632168a8,0.5764293419633224,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 23, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.4370368937704865, 'latent_dim': 57, 'opt_lr': 0.00033907802542153124, 'opt_wd': 4.052446275150137e-06}"
