iteration,trial_id,score,config
1005,4386c040,0.7158823529411765,"{'batch_size': 64, 'm_lambda': 2.1096671147619754, 'num_HL': 8, 'latent_dim': 77, 'opt_lr': 2.5235867787557943e-05, 'opt_wd': 4.654470224772811e-07}"
1165,7ac8b350,0.7147058823529412,"{'batch_size': 64, 'm_lambda': 1.140102844529874, 'num_HL': 3, 'latent_dim': 62, 'opt_lr': 0.0009604533202753675, 'opt_wd': 1.0066709573194234e-06}"
1167,7b54131e,0.6820588235294118,"{'batch_size': 64, 'm_lambda': 2.755857013601873, 'num_HL': 5, 'latent_dim': 54, 'opt_lr': 1.8892947044228305e-05, 'opt_wd': 7.66484902422469e-06}"
1212,db79e33a,0.6908823529411765,"{'batch_size': 128, 'm_lambda': 1.8171126439555374, 'num_HL': 2, 'latent_dim': 135, 'opt_lr': 0.0005623800532635668, 'opt_wd': 9.364027477787932e-06}"
1447,3feff4b1,0.6988235294117647,"{'batch_size': 64, 'm_lambda': 0.7479994237931311, 'num_HL': 7, 'latent_dim': 42, 'opt_lr': 2.735585682772166e-05, 'opt_wd': 4.324271529089903e-06}"
1752,452830f3,0.7,"{'batch_size': 128, 'm_lambda': 1.1613886540987124, 'num_HL': 4, 'latent_dim': 17, 'opt_lr': 0.0006200383404312059, 'opt_wd': 9.277372474757634e-06}"
1891,cc3617ac,0.7291176470588235,"{'batch_size': 64, 'm_lambda': 1.4839162348162158, 'num_HL': 3, 'latent_dim': 94, 'opt_lr': 0.0004941882126141961, 'opt_wd': 4.298912342780991e-06}"
2048,86eb2200,0.6823529411764706,"{'batch_size': 128, 'm_lambda': 2.194633477280643, 'num_HL': 8, 'latent_dim': 58, 'opt_lr': 0.00016642241090415212, 'opt_wd': 6.83045018993197e-06}"
2246,a6f1e72d,0.7173529411764706,"{'batch_size': 64, 'm_lambda': 0.23917467056107927, 'num_HL': 3, 'latent_dim': 167, 'opt_lr': 5.7309999837350814e-05, 'opt_wd': 1.3332660253721385e-06}"
2254,1d7e1acc,0.6932352941176471,"{'batch_size': 128, 'm_lambda': 1.5860576812434724, 'num_HL': 8, 'latent_dim': 105, 'opt_lr': 1.1653447568216812e-05, 'opt_wd': 3.4599778167606723e-06}"
2270,e18f7c1d,0.7147058823529412,"{'batch_size': 64, 'm_lambda': 2.9625811895643785, 'num_HL': 3, 'latent_dim': 107, 'opt_lr': 0.00040652551506591204, 'opt_wd': 3.848474312900432e-06}"
2361,5bdc6770,0.6752941176470589,"{'batch_size': 128, 'm_lambda': 0.3067339985182748, 'num_HL': 6, 'latent_dim': 39, 'opt_lr': 0.00012306497443637408, 'opt_wd': 1.9339910180287337e-06}"
