trial_id,config,error_type,error_message,error_traceback
6316e150,"{'num_CL': 8, 'num_HL': 6, 'size_CL': 32, 'size_HL': 84, 'down_HL': 7, 'kernel_size': 3, 'latent_dim': 142, 'opt_lr': 0.0004486025509767622}",<class 'TypeError'>,'NoneType' object is not subscriptable,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/home/darlinne.soto/.local/lib/python3.10/site-packages/librep/transforms/topo_ae.py"", line 95, in fit
    X, X_val, y, y_val = train_test_split(X, y, test_size=0.2, random_state=42, stratify=y)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/_param_validation.py"", line 211, in wrapper
    return func(*args, **kwargs)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2672, in train_test_split
    return list(

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2674, in <genexpr>
    (_safe_indexing(a, train), _safe_indexing(a, test)) for a in arrays

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 357, in _safe_indexing
    return _list_indexing(X, indices, indices_dtype)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in _list_indexing
    return [X[idx] for idx in key]

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in <listcomp>
    return [X[idx] for idx in key]
"
216224d0,"{'num_CL': 7, 'num_HL': 4, 'size_CL': 13, 'size_HL': 55, 'down_HL': 1, 'kernel_size': 7, 'latent_dim': 326, 'opt_lr': 0.00012004873402481669}",<class 'TypeError'>,'NoneType' object is not subscriptable,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/home/darlinne.soto/.local/lib/python3.10/site-packages/librep/transforms/topo_ae.py"", line 95, in fit
    X, X_val, y, y_val = train_test_split(X, y, test_size=0.2, random_state=42, stratify=y)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/_param_validation.py"", line 211, in wrapper
    return func(*args, **kwargs)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2672, in train_test_split
    return list(

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2674, in <genexpr>
    (_safe_indexing(a, train), _safe_indexing(a, test)) for a in arrays

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 357, in _safe_indexing
    return _list_indexing(X, indices, indices_dtype)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in _list_indexing
    return [X[idx] for idx in key]

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in <listcomp>
    return [X[idx] for idx in key]
"
569c0ef2,"{'num_CL': 3, 'num_HL': 7, 'size_CL': 17, 'size_HL': 139, 'down_HL': 8, 'kernel_size': 5, 'latent_dim': 162, 'opt_lr': 0.00010289954362903411}",<class 'TypeError'>,'NoneType' object is not subscriptable,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/home/darlinne.soto/.local/lib/python3.10/site-packages/librep/transforms/topo_ae.py"", line 95, in fit
    X, X_val, y, y_val = train_test_split(X, y, test_size=0.2, random_state=42, stratify=y)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/_param_validation.py"", line 211, in wrapper
    return func(*args, **kwargs)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2672, in train_test_split
    return list(

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2674, in <genexpr>
    (_safe_indexing(a, train), _safe_indexing(a, test)) for a in arrays

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 357, in _safe_indexing
    return _list_indexing(X, indices, indices_dtype)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in _list_indexing
    return [X[idx] for idx in key]

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in <listcomp>
    return [X[idx] for idx in key]
"
53d2d09e,"{'num_CL': 6, 'num_HL': 7, 'size_CL': 20, 'size_HL': 138, 'down_HL': 13, 'kernel_size': 8, 'latent_dim': 329, 'opt_lr': 0.00039111760114164863}",<class 'TypeError'>,'NoneType' object is not subscriptable,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/home/darlinne.soto/.local/lib/python3.10/site-packages/librep/transforms/topo_ae.py"", line 95, in fit
    X, X_val, y, y_val = train_test_split(X, y, test_size=0.2, random_state=42, stratify=y)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/_param_validation.py"", line 211, in wrapper
    return func(*args, **kwargs)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2672, in train_test_split
    return list(

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2674, in <genexpr>
    (_safe_indexing(a, train), _safe_indexing(a, test)) for a in arrays

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 357, in _safe_indexing
    return _list_indexing(X, indices, indices_dtype)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in _list_indexing
    return [X[idx] for idx in key]

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in <listcomp>
    return [X[idx] for idx in key]
"
4668eb3a,"{'num_CL': 4, 'num_HL': 2, 'size_CL': 24, 'size_HL': 62, 'down_HL': 16, 'kernel_size': 3, 'latent_dim': 98, 'opt_lr': 0.0004379154212863907}",<class 'TypeError'>,'NoneType' object is not subscriptable,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/home/darlinne.soto/.local/lib/python3.10/site-packages/librep/transforms/topo_ae.py"", line 95, in fit
    X, X_val, y, y_val = train_test_split(X, y, test_size=0.2, random_state=42, stratify=y)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/_param_validation.py"", line 211, in wrapper
    return func(*args, **kwargs)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2672, in train_test_split
    return list(

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2674, in <genexpr>
    (_safe_indexing(a, train), _safe_indexing(a, test)) for a in arrays

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 357, in _safe_indexing
    return _list_indexing(X, indices, indices_dtype)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in _list_indexing
    return [X[idx] for idx in key]

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in <listcomp>
    return [X[idx] for idx in key]
"
0616616d,"{'num_CL': 7, 'num_HL': 6, 'size_CL': 19, 'size_HL': 32, 'down_HL': 15, 'kernel_size': 4, 'latent_dim': 50, 'opt_lr': 6.118760650682168e-05}",<class 'TypeError'>,'NoneType' object is not subscriptable,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/home/darlinne.soto/.local/lib/python3.10/site-packages/librep/transforms/topo_ae.py"", line 95, in fit
    X, X_val, y, y_val = train_test_split(X, y, test_size=0.2, random_state=42, stratify=y)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/_param_validation.py"", line 211, in wrapper
    return func(*args, **kwargs)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2672, in train_test_split
    return list(

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2674, in <genexpr>
    (_safe_indexing(a, train), _safe_indexing(a, test)) for a in arrays

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 357, in _safe_indexing
    return _list_indexing(X, indices, indices_dtype)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in _list_indexing
    return [X[idx] for idx in key]

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in <listcomp>
    return [X[idx] for idx in key]
"
c073f9a9,"{'num_CL': 2, 'num_HL': 7, 'size_CL': 28, 'size_HL': 99, 'down_HL': 14, 'kernel_size': 3, 'latent_dim': 244, 'opt_lr': 8.393259964097763e-05}",<class 'TypeError'>,'NoneType' object is not subscriptable,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/home/darlinne.soto/.local/lib/python3.10/site-packages/librep/transforms/topo_ae.py"", line 95, in fit
    X, X_val, y, y_val = train_test_split(X, y, test_size=0.2, random_state=42, stratify=y)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/_param_validation.py"", line 211, in wrapper
    return func(*args, **kwargs)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2672, in train_test_split
    return list(

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2674, in <genexpr>
    (_safe_indexing(a, train), _safe_indexing(a, test)) for a in arrays

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 357, in _safe_indexing
    return _list_indexing(X, indices, indices_dtype)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in _list_indexing
    return [X[idx] for idx in key]

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in <listcomp>
    return [X[idx] for idx in key]
"
01f73123,"{'num_CL': 8, 'num_HL': 6, 'size_CL': 30, 'size_HL': 134, 'down_HL': 14, 'kernel_size': 8, 'latent_dim': 107, 'opt_lr': 1.09646224033373e-05}",<class 'TypeError'>,'NoneType' object is not subscriptable,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/home/darlinne.soto/.local/lib/python3.10/site-packages/librep/transforms/topo_ae.py"", line 95, in fit
    X, X_val, y, y_val = train_test_split(X, y, test_size=0.2, random_state=42, stratify=y)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/_param_validation.py"", line 211, in wrapper
    return func(*args, **kwargs)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2672, in train_test_split
    return list(

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2674, in <genexpr>
    (_safe_indexing(a, train), _safe_indexing(a, test)) for a in arrays

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 357, in _safe_indexing
    return _list_indexing(X, indices, indices_dtype)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in _list_indexing
    return [X[idx] for idx in key]

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in <listcomp>
    return [X[idx] for idx in key]
"
048bf0d9,"{'num_CL': 5, 'num_HL': 3, 'size_CL': 32, 'size_HL': 112, 'down_HL': 1, 'kernel_size': 5, 'latent_dim': 176, 'opt_lr': 1.320617244871955e-05}",<class 'TypeError'>,'NoneType' object is not subscriptable,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/home/darlinne.soto/.local/lib/python3.10/site-packages/librep/transforms/topo_ae.py"", line 95, in fit
    X, X_val, y, y_val = train_test_split(X, y, test_size=0.2, random_state=42, stratify=y)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/_param_validation.py"", line 211, in wrapper
    return func(*args, **kwargs)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2672, in train_test_split
    return list(

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2674, in <genexpr>
    (_safe_indexing(a, train), _safe_indexing(a, test)) for a in arrays

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 357, in _safe_indexing
    return _list_indexing(X, indices, indices_dtype)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in _list_indexing
    return [X[idx] for idx in key]

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in <listcomp>
    return [X[idx] for idx in key]
"
3f214c27,"{'num_CL': 5, 'num_HL': 7, 'size_CL': 14, 'size_HL': 37, 'down_HL': 1, 'kernel_size': 6, 'latent_dim': 151, 'opt_lr': 1.412793847125999e-05}",<class 'TypeError'>,'NoneType' object is not subscriptable,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 23, in h_search_unit
    experiment_result = run_basic_experiment(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/run_basic_experiment.py"", line 151, in run_basic_experiment
    datasets = do_reduce(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/do_reduce.py"", line 121, in do_reduce
    reducer.fit(**fit_dsets)

  File ""/home/darlinne.soto/.local/lib/python3.10/site-packages/librep/transforms/topo_ae.py"", line 95, in fit
    X, X_val, y, y_val = train_test_split(X, y, test_size=0.2, random_state=42, stratify=y)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/_param_validation.py"", line 211, in wrapper
    return func(*args, **kwargs)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2672, in train_test_split
    return list(

  File ""/usr/local/lib/python3.10/site-packages/sklearn/model_selection/_split.py"", line 2674, in <genexpr>
    (_safe_indexing(a, train), _safe_indexing(a, test)) for a in arrays

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 357, in _safe_indexing
    return _list_indexing(X, indices, indices_dtype)

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in _list_indexing
    return [X[idx] for idx in key]

  File ""/usr/local/lib/python3.10/site-packages/sklearn/utils/__init__.py"", line 211, in <listcomp>
    return [X[idx] for idx in key]
"
