,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/down_HL,config/kernel_size,config/latent_dim,config/model_lamda,config/num_CL,config/num_HL,config/opt_lr,config/opt_wd,config/size_CL,config/size_HL,logdir
0,-13.891464472206238,3.4595367908477783,False,1,fc15411b,2023-09-16_18-12-07,1694887927,3.4595367908477783,66777,84233402a856,172.17.0.2,3.4595367908477783,1,7,4,132,1.4052788221435712,8,5,2.289265193951877e-06,9.444844860575591e-07,9,146,"/home/darlinne.soto/ray_results/convtae_wisdm/my_objective_function_fc15411b_1_down_HL=7,kernel_size=4,latent_dim=132,model_lamda=1.4053,num_CL=8,num_HL=5,opt_lr=0.0000,opt_wd=_2023-09-16_18-11-53"
1,-16.523921464823232,3.0116286277771,True,1,184517ca,2023-09-16_18-12-11,1694887931,3.0116286277771,66777,84233402a856,172.17.0.2,3.0116286277771,1,6,3,268,1.0797184853179744,7,3,0.00038232000042022637,9.353213491090579e-07,31,96,"/home/darlinne.soto/ray_results/convtae_wisdm/my_objective_function_184517ca_2_down_HL=6,kernel_size=3,latent_dim=268,model_lamda=1.0797,num_CL=7,num_HL=3,opt_lr=0.0004,opt_wd=_2023-09-16_18-12-04"
2,-13.20554316717369,2.428610324859619,False,1,ddbf169f,2023-09-16_18-12-13,1694887933,2.428610324859619,66777,84233402a856,172.17.0.2,2.428610324859619,1,15,2,102,0.8959225283510457,3,5,3.0226804085904893e-05,8.738905864808416e-07,24,128,"/home/darlinne.soto/ray_results/convtae_wisdm/my_objective_function_ddbf169f_3_down_HL=15,kernel_size=2,latent_dim=102,model_lamda=0.8959,num_CL=3,num_HL=5,opt_lr=0.0000,opt_wd_2023-09-16_18-12-08"
3,-15.951951890873644,2.35760498046875,True,1,0c5c2380,2023-09-16_18-12-16,1694887936,2.35760498046875,66777,84233402a856,172.17.0.2,2.35760498046875,1,6,7,253,0.12122574671088082,4,4,2.5589841553377855e-05,3.373110716292419e-07,24,66,"/home/darlinne.soto/ray_results/convtae_wisdm/my_objective_function_0c5c2380_4_down_HL=6,kernel_size=7,latent_dim=253,model_lamda=0.1212,num_CL=4,num_HL=4,opt_lr=0.0000,opt_wd=_2023-09-16_18-12-11"
4,-18.170841597938647,2.963665008544922,True,1,a022e988,2023-09-16_18-12-19,1694887939,2.963665008544922,66777,84233402a856,172.17.0.2,2.963665008544922,1,10,8,288,0.6859832432669983,3,8,0.00010641390189506996,2.307623041372635e-07,12,101,"/home/darlinne.soto/ray_results/convtae_wisdm/my_objective_function_a022e988_5_down_HL=10,kernel_size=8,latent_dim=288,model_lamda=0.6860,num_CL=3,num_HL=8,opt_lr=0.0001,opt_wd_2023-09-16_18-12-13"
5,-13.185115108329851,2.489449977874756,False,1,eca9b593,2023-09-16_18-12-21,1694887941,2.489449977874756,66777,84233402a856,172.17.0.2,2.489449977874756,1,14,7,80,1.2207105619587997,8,3,1.3648414693919901e-06,5.037153361361012e-07,9,36,"/home/darlinne.soto/ray_results/convtae_wisdm/my_objective_function_eca9b593_6_down_HL=14,kernel_size=7,latent_dim=80,model_lamda=1.2207,num_CL=8,num_HL=3,opt_lr=0.0000,opt_wd=_2023-09-16_18-12-16"
6,-13.268569718076002,2.5644195079803467,False,1,e0b666d7,2023-09-16_18-12-24,1694887944,2.5644195079803467,66777,84233402a856,172.17.0.2,2.5644195079803467,1,9,4,20,1.9728356296910057,6,3,0.0001037584775900034,2.7484586584807122e-08,17,74,"/home/darlinne.soto/ray_results/convtae_wisdm/my_objective_function_e0b666d7_7_down_HL=9,kernel_size=4,latent_dim=20,model_lamda=1.9728,num_CL=6,num_HL=3,opt_lr=0.0001,opt_wd=0_2023-09-16_18-12-19"
7,-12.203957017307928,2.80564546585083,False,1,977bbe9c,2023-09-16_18-12-27,1694887947,2.80564546585083,66777,84233402a856,172.17.0.2,2.80564546585083,1,12,4,234,0.568414963541851,5,3,5.837654267512954e-06,9.545788748452071e-07,15,143,"/home/darlinne.soto/ray_results/convtae_wisdm/my_objective_function_977bbe9c_8_down_HL=12,kernel_size=4,latent_dim=234,model_lamda=0.5684,num_CL=5,num_HL=3,opt_lr=0.0000,opt_wd_2023-09-16_18-12-21"
8,-16.107736459222604,3.2612829208374023,True,1,532a0e49,2023-09-16_18-12-30,1694887950,3.2612829208374023,66777,84233402a856,172.17.0.2,3.2612829208374023,1,19,8,348,0.055152479206475924,4,5,2.229580878382579e-05,6.240349964291971e-07,8,113,"/home/darlinne.soto/ray_results/convtae_wisdm/my_objective_function_532a0e49_9_down_HL=19,kernel_size=8,latent_dim=348,model_lamda=0.0552,num_CL=4,num_HL=5,opt_lr=0.0000,opt_wd_2023-09-16_18-12-24"
9,-11.739330331404886,3.103987693786621,False,1,f91966d8,2023-09-16_18-12-33,1694887953,3.103987693786621,66777,84233402a856,172.17.0.2,3.103987693786621,1,15,8,269,0.24767649368608624,4,6,4.42265620577684e-05,9.864700130753137e-07,2,95,"/home/darlinne.soto/ray_results/convtae_wisdm/my_objective_function_f91966d8_10_down_HL=15,kernel_size=8,latent_dim=269,model_lamda=0.2477,num_CL=4,num_HL=6,opt_lr=0.0000,opt_w_2023-09-16_18-12-27"
