iteration,trial_id,score,config
295,41f30792,-0.1,"{'umap_ncomp': 150, 'umap_spread': 0.8407907933495857, 'umap_mdist': 1.6643049820625648, 'umap_neigh': 114, 'umap_epochs': 208}"
309,ca1ba006,-0.1,"{'umap_ncomp': 250, 'umap_spread': 1.642117597910259, 'umap_mdist': 1.6495101055946015, 'umap_neigh': 171, 'umap_epochs': 279}"
578,dd2fff03,-0.1,"{'umap_ncomp': 208, 'umap_spread': 0.30848448273156137, 'umap_mdist': 1.4093678981594133, 'umap_neigh': 81, 'umap_epochs': 419}"
1098,52721920,-0.1,"{'umap_ncomp': 347, 'umap_spread': 0.706324299898496, 'umap_mdist': 1.692173248861704, 'umap_neigh': 145, 'umap_epochs': 175}"
1953,aedc677f,0.22065727699530516,"{'umap_ncomp': 45, 'umap_spread': 1.5658972794479045, 'umap_mdist': 0.6466052334051469, 'umap_neigh': 97, 'umap_epochs': 451}"
4020,8241ab0b,0.18544600938967137,"{'umap_ncomp': 70, 'umap_spread': 1.7021748193722144, 'umap_mdist': 0.7380647859017426, 'umap_neigh': 195, 'umap_epochs': 212}"
4637,bbca497f,0.23943661971830985,"{'umap_ncomp': 160, 'umap_spread': 1.571787765109775, 'umap_mdist': 1.2070381117299829, 'umap_neigh': 85, 'umap_epochs': 598}"
5130,8c2b927a,0.22769953051643194,"{'umap_ncomp': 190, 'umap_spread': 1.7511958618109487, 'umap_mdist': 0.5975108125476105, 'umap_neigh': 102, 'umap_epochs': 483}"
5136,d9369a3b,0.19718309859154928,"{'umap_ncomp': 143, 'umap_spread': 0.7466357575676124, 'umap_mdist': 0.6719065638913297, 'umap_neigh': 176, 'umap_epochs': 316}"
5150,0f188081,-0.1,"{'umap_ncomp': 176, 'umap_spread': 0.0329361020113883, 'umap_mdist': 0.30188476054756985, 'umap_neigh': 149, 'umap_epochs': 201}"
5164,ff55d5fd,-0.1,"{'umap_ncomp': 234, 'umap_spread': 1.5418121835465115, 'umap_mdist': 1.8997705376346894, 'umap_neigh': 192, 'umap_epochs': 562}"
5888,5a3922ee,0.20305164319248825,"{'umap_ncomp': 16, 'umap_spread': 0.577366134203225, 'umap_mdist': 0.21198356392100592, 'umap_neigh': 181, 'umap_epochs': 190}"
6359,4204f4c8,0.2887323943661972,"{'umap_ncomp': 167, 'umap_spread': 0.9772766971462923, 'umap_mdist': 0.7875601917017336, 'umap_neigh': 50, 'umap_epochs': 310}"
6731,cbdd3a3b,0.19483568075117372,"{'umap_ncomp': 238, 'umap_spread': 1.3181399413872594, 'umap_mdist': 1.1249220841772873, 'umap_neigh': 137, 'umap_epochs': 525}"
6743,386ae14c,-0.1,"{'umap_ncomp': 40, 'umap_spread': 0.2669313040231174, 'umap_mdist': 1.9606289112405046, 'umap_neigh': 3, 'umap_epochs': 306}"
6755,dadef29b,-0.1,"{'umap_ncomp': 353, 'umap_spread': 0.9348735212973174, 'umap_mdist': 1.1395339547263785, 'umap_neigh': 192, 'umap_epochs': 186}"
7749,43530030,0.3215962441314554,"{'umap_ncomp': 267, 'umap_spread': 0.740619528247461, 'umap_mdist': 0.6191408084103285, 'umap_neigh': 37, 'umap_epochs': 535}"
8151,e76cb40f,0.31220657276995306,"{'umap_ncomp': 105, 'umap_spread': 1.187390817574854, 'umap_mdist': 0.9430719347002852, 'umap_neigh': 47, 'umap_epochs': 373}"
8258,29789997,0.23708920187793428,"{'umap_ncomp': 275, 'umap_spread': 1.5390864061369327, 'umap_mdist': 1.3977188038160575, 'umap_neigh': 83, 'umap_epochs': 237}"
8313,a134be0b,0.310093896713615,"{'umap_ncomp': 296, 'umap_spread': 1.0570687371381458, 'umap_mdist': 0.0830870537746673, 'umap_neigh': 2, 'umap_epochs': 370}"
9167,1e5952fd,0.3286384976525822,"{'umap_ncomp': 113, 'umap_spread': 1.1517760582671843, 'umap_mdist': 0.8989780498638889, 'umap_neigh': 30, 'umap_epochs': 402}"
9180,a54273d8,-0.1,"{'umap_ncomp': 283, 'umap_spread': 0.5055873134267689, 'umap_mdist': 0.9079692222001577, 'umap_neigh': 23, 'umap_epochs': 430}"
9286,3a89c5de,0.32629107981220656,"{'umap_ncomp': 99, 'umap_spread': 1.2600898441338573, 'umap_mdist': 0.9655750888866445, 'umap_neigh': 35, 'umap_epochs': 376}"
9299,32450713,-0.1,"{'umap_ncomp': 85, 'umap_spread': 1.1606875445252103, 'umap_mdist': 1.3223621500008966, 'umap_neigh': 24, 'umap_epochs': 350}"
9328,398a8657,0.3427230046948357,"{'umap_ncomp': 123, 'umap_spread': 1.9660737579957026, 'umap_mdist': 0.3545730107975235, 'umap_neigh': 19, 'umap_epochs': 572}"
9490,433d9b6f,0.34507042253521125,"{'umap_ncomp': 4, 'umap_spread': 1.343391882341257, 'umap_mdist': 0.8325020919747106, 'umap_neigh': 8, 'umap_epochs': 450}"
9706,4a067d75,0.392018779342723,"{'umap_ncomp': 7, 'umap_spread': 1.968100731316593, 'umap_mdist': 0.2202420046498626, 'umap_neigh': 10, 'umap_epochs': 481}"
9715,8025e488,0.28169014084507044,"{'umap_ncomp': 325, 'umap_spread': 0.7718445526698534, 'umap_mdist': 0.5285661090313287, 'umap_neigh': 51, 'umap_epochs': 222}"
9727,48eb8e1d,-0.1,"{'umap_ncomp': 4, 'umap_spread': 1.3864430549753242, 'umap_mdist': 1.6228571874877802, 'umap_neigh': 124, 'umap_epochs': 442}"
9933,1d94cd65,0.392018779342723,"{'umap_ncomp': 16, 'umap_spread': 1.8746159561059927, 'umap_mdist': 0.1871626000903469, 'umap_neigh': 10, 'umap_epochs': 471}"
10133,7235a77f,0.3544600938967136,"{'umap_ncomp': 51, 'umap_spread': 1.4256547010917784, 'umap_mdist': 1.071159383928432, 'umap_neigh': 12, 'umap_epochs': 493}"
10581,26de3c77,0.25821596244131456,"{'umap_ncomp': 30, 'umap_spread': 1.8657286072921873, 'umap_mdist': 0.15701960311361857, 'umap_neigh': 59, 'umap_epochs': 477}"
11138,11dfb3bd,0.24647887323943662,"{'umap_ncomp': 18, 'umap_spread': 1.8014264648196399, 'umap_mdist': 0.21520975178109092, 'umap_neigh': 72, 'umap_epochs': 511}"
11456,3734e9ea,0.2676056338028169,"{'umap_ncomp': 133, 'umap_spread': 1.9273971503342806, 'umap_mdist': 0.401377425701538, 'umap_neigh': 65, 'umap_epochs': 592}"
11953,e4052f6a,0.18544600938967137,"{'umap_ncomp': 69, 'umap_spread': 1.9594337379360203, 'umap_mdist': 0.0001733998021376526, 'umap_neigh': 117, 'umap_epochs': 468}"
12603,c4ad6d16,0.22300469483568075,"{'umap_ncomp': 50, 'umap_spread': 1.8422037759468992, 'umap_mdist': 0.2784321817561488, 'umap_neigh': 104, 'umap_epochs': 340}"
13490,3d518541,0.22535211267605634,"{'umap_ncomp': 82, 'umap_spread': 1.6649550546852798, 'umap_mdist': 0.11283205589856694, 'umap_neigh': 91, 'umap_epochs': 251}"
13505,c7eff233,-0.1,"{'umap_ncomp': 147, 'umap_spread': 0.045617236473970535, 'umap_mdist': 0.720527752807753, 'umap_neigh': 39, 'umap_epochs': 398}"
13516,6bd422a6,0.19131455399061034,"{'umap_ncomp': 69, 'umap_spread': 1.6773651798125198, 'umap_mdist': 0.4800382945060036, 'umap_neigh': 162, 'umap_epochs': 410}"
13724,75733af2,0.36619718309859156,"{'umap_ncomp': 205, 'umap_spread': 1.9889459374534626, 'umap_mdist': 0.5214033278454333, 'umap_neigh': 13, 'umap_epochs': 516}"
13739,6c3229dd,-0.1,"{'umap_ncomp': 190, 'umap_spread': 1.6307267548184408, 'umap_mdist': 1.7589925014190322, 'umap_neigh': 109, 'umap_epochs': 156}"
13753,a187a983,-0.1,"{'umap_ncomp': 62, 'umap_spread': 0.259279706680687, 'umap_mdist': 1.5435732217268567, 'umap_neigh': 58, 'umap_epochs': 588}"
13780,a5c6da11,0.1915492957746479,"{'umap_ncomp': 228, 'umap_spread': 1.7898228645471284, 'umap_mdist': 0.4286989748356187, 'umap_neigh': 191, 'umap_epochs': 501}"
13979,87d9106c,0.2605633802816901,"{'umap_ncomp': 314, 'umap_spread': 1.3961203886776343, 'umap_mdist': 0.02675899945726734, 'umap_neigh': 66, 'umap_epochs': 543}"
14045,abc6f041,0.18779342723004694,"{'umap_ncomp': 10, 'umap_spread': 0.8696840716024152, 'umap_mdist': 0.25259767555324497, 'umap_neigh': 131, 'umap_epochs': 558}"
14215,97d2644a,0.25821596244131456,"{'umap_ncomp': 26, 'umap_spread': 1.4776107813759254, 'umap_mdist': 0.05057089245102461, 'umap_neigh': 75, 'umap_epochs': 468}"
14440,e897fc0f,0.3051643192488263,"{'umap_ncomp': 33, 'umap_spread': 0.5942415980876976, 'umap_mdist': 0.15974978576090168, 'umap_neigh': 47, 'umap_epochs': 533}"
14457,d53a825d,-0.1,"{'umap_ncomp': 156, 'umap_spread': 0.4270831025141246, 'umap_mdist': 0.769511341394565, 'umap_neigh': 42, 'umap_epochs': 437}"
14942,1c2fa765,0.36619718309859156,"{'umap_ncomp': 209, 'umap_spread': 1.6067366240055188, 'umap_mdist': 1.2147142072125543, 'umap_neigh': 4, 'umap_epochs': 493}"
15380,46c95321,0.34976525821596244,"{'umap_ncomp': 53, 'umap_spread': 1.061587121189358, 'umap_mdist': 0.3432263531676014, 'umap_neigh': 16, 'umap_epochs': 458}"
15394,b258b70c,-0.1,"{'umap_ncomp': 119, 'umap_spread': 0.12098036483465224, 'umap_mdist': 0.5606305468749117, 'umap_neigh': 77, 'umap_epochs': 290}"
15440,abc3bfd6,0.2300469483568075,"{'umap_ncomp': 89, 'umap_spread': 1.7465608609197132, 'umap_mdist': 0.6501200787186698, 'umap_neigh': 91, 'umap_epochs': 269}"
15455,5a4cde55,-0.1,"{'umap_ncomp': 337, 'umap_spread': 0.6715107444920471, 'umap_mdist': 1.0433113076348552, 'umap_neigh': 54, 'umap_epochs': 516}"
15601,6edda29e,0.3333333333333333,"{'umap_ncomp': 134, 'umap_spread': 1.4988947756596207, 'umap_mdist': 0.46743266915100695, 'umap_neigh': 28, 'umap_epochs': 387}"
15837,836ad249,0.29107981220657275,"{'umap_ncomp': 22, 'umap_spread': 1.7372227740787025, 'umap_mdist': 0.0025044634438831093, 'umap_neigh': 33, 'umap_epochs': 545}"
16144,abed597a,0.2622065727699531,"{'umap_ncomp': 3, 'umap_spread': 1.8043694121822795, 'umap_mdist': 1.4355562755295947, 'umap_neigh': 86, 'umap_epochs': 364}"
16696,ccebea37,0.19483568075117372,"{'umap_ncomp': 40, 'umap_spread': 1.5588941431652077, 'umap_mdist': 0.8469822473933899, 'umap_neigh': 139, 'umap_epochs': 343}"
16710,386024d2,-0.1,"{'umap_ncomp': 246, 'umap_spread': 0.9157608976447199, 'umap_mdist': 1.2871154499997073, 'umap_neigh': 10, 'umap_epochs': 417}"
17706,0cfda9a4,0.34507042253521125,"{'umap_ncomp': 217, 'umap_spread': 1.0764094898528194, 'umap_mdist': 0.1295581679794941, 'umap_neigh': 20, 'umap_epochs': 584}"
17857,5f5fd926,0.2793427230046948,"{'umap_ncomp': 96, 'umap_spread': 1.222701961251139, 'umap_mdist': 0.21388576484068594, 'umap_neigh': 44, 'umap_epochs': 489}"
17886,41a330e5,0.2300469483568075,"{'umap_ncomp': 103, 'umap_spread': 1.9916679343768797, 'umap_mdist': 0.685446872285969, 'umap_neigh': 96, 'umap_epochs': 567}"
17900,4f00edd0,-0.1,"{'umap_ncomp': 189, 'umap_spread': 1.5875387443520999, 'umap_mdist': 1.7878748406749783, 'umap_neigh': 2, 'umap_epochs': 501}"
17916,74298134,-0.1,"{'umap_ncomp': 292, 'umap_spread': 1.4489863741302607, 'umap_mdist': 1.4864052769408762, 'umap_neigh': 8, 'umap_epochs': 523}"
18052,1f5851e4,0.3779342723004695,"{'umap_ncomp': 79, 'umap_spread': 0.7946771709356475, 'umap_mdist': 0.43380929680760616, 'umap_neigh': 3, 'umap_epochs': 456}"
18465,7cf8b990,0.323943661971831,"{'umap_ncomp': 59, 'umap_spread': 1.8789563381579457, 'umap_mdist': 1.142694923378633, 'umap_neigh': 27, 'umap_epochs': 390}"
18479,694ea195,-0.1,"{'umap_ncomp': 39, 'umap_spread': 0.3809327952777455, 'umap_mdist': 0.4051516806322576, 'umap_neigh': 31, 'umap_epochs': 445}"
18595,8aa026d8,0.31384976525821595,"{'umap_ncomp': 12, 'umap_spread': 0.7726822131790254, 'umap_mdist': 0.08814267933193046, 'umap_neigh': 2, 'umap_epochs': 550}"
18627,bc4856df,0.3427230046948357,"{'umap_ncomp': 80, 'umap_spread': 0.9990145550492425, 'umap_mdist': 0.3124593871193143, 'umap_neigh': 19, 'umap_epochs': 458}"
18799,66601247,0.18544600938967137,"{'umap_ncomp': 170, 'umap_spread': 1.2736023976447743, 'umap_mdist': 0.36967271682263625, 'umap_neigh': 148, 'umap_epochs': 423}"
19266,38d0e824,0.3215962441314554,"{'umap_ncomp': 75, 'umap_spread': 0.7024595384527801, 'umap_mdist': 0.5038656349945948, 'umap_neigh': 24, 'umap_epochs': 429}"
