iteration,trial_id,score,config
2447,97173cc0,0.5366197183098592,"{'batch_size': 32, 'num_HL': 3, 'latent_dim': 58, 'opt_lr': 0.00033691830373175537, 'opt_wd': 5.72884653414338e-06}"
2484,6c4987e8,0.4396713615023474,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 55, 'opt_lr': 0.0005728208023075221, 'opt_wd': 5.224432826288042e-06}"
2531,36dd7893,0.5340375586854461,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 64, 'opt_lr': 5.3731948832039594e-05, 'opt_wd': 8.98734471533243e-06}"
4135,627f18e5,0.5194835680751173,"{'batch_size': 32, 'num_HL': 4, 'latent_dim': 16, 'opt_lr': 0.0005569193076536111, 'opt_wd': 7.380919357472213e-06}"
4424,3d451f5d,0.4084507042253521,"{'batch_size': 32, 'num_HL': 7, 'latent_dim': 9, 'opt_lr': 0.0009004349803711989, 'opt_wd': 7.509511247706883e-06}"
5096,3f1935d2,0.5828638497652583,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 24, 'opt_lr': 0.00012169914965676622, 'opt_wd': 2.888981395016299e-06}"
5319,69765947,0.4950704225352114,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 32, 'opt_lr': 0.0009785923417510883, 'opt_wd': 2.1843245467231704e-06}"
5427,2255b9f6,0.6032863849765258,"{'batch_size': 128, 'num_HL': 7, 'latent_dim': 10, 'opt_lr': 2.8737189733055462e-05, 'opt_wd': 9.271467645692796e-06}"
5656,99d419f8,0.4615023474178404,"{'batch_size': 32, 'num_HL': 5, 'latent_dim': 43, 'opt_lr': 0.000256324728290004, 'opt_wd': 8.07744700556507e-06}"
5878,5d2fccce,0.4234741784037559,"{'batch_size': 32, 'num_HL': 5, 'latent_dim': 74, 'opt_lr': 0.00018813527842444038, 'opt_wd': 3.2348729240504016e-06}"
5959,d450c5fa,0.4359154929577464,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 49, 'opt_lr': 0.0003491087510291123, 'opt_wd': 5.799818324114603e-06}"
5991,57c9a733,0.5201877934272301,"{'batch_size': 64, 'num_HL': 3, 'latent_dim': 62, 'opt_lr': 0.0007606494093439289, 'opt_wd': 7.422518399998456e-06}"
6185,7b02776d,0.5507042253521126,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 18, 'opt_lr': 4.8958878180428565e-05, 'opt_wd': 1.0520782177468081e-06}"
6538,f5f953b1,0.5288732394366198,"{'batch_size': 128, 'num_HL': 8, 'latent_dim': 85, 'opt_lr': 0.00012083380069273439, 'opt_wd': 6.419829451873302e-06}"
6981,238f0711,0.4612676056338028,"{'batch_size': 64, 'num_HL': 6, 'latent_dim': 21, 'opt_lr': 0.00011421061904138742, 'opt_wd': 9.237719378278794e-06}"
7059,c7220b5e,0.5924882629107981,"{'batch_size': 32, 'num_HL': 2, 'latent_dim': 26, 'opt_lr': 0.00046195063382509775, 'opt_wd': 3.590413122663125e-06}"
7540,dd1452fb,0.5659624413145539,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 89, 'opt_lr': 7.700002429123371e-05, 'opt_wd': 6.726920737347044e-06}"
7593,8740caee,0.5964788732394366,"{'batch_size': 128, 'num_HL': 2, 'latent_dim': 20, 'opt_lr': 0.00020096710538675876, 'opt_wd': 9.31294770622396e-06}"
7835,18dde916,0.48826291079812206,"{'batch_size': 128, 'num_HL': 8, 'latent_dim': 2, 'opt_lr': 2.710731119523894e-05, 'opt_wd': 1.2061565589816466e-06}"
7869,e987720c,0.48098591549295777,"{'batch_size': 128, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 0.00013878932355839425, 'opt_wd': 2.3168012245479217e-06}"
8021,525baf11,0.5227699530516432,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 67, 'opt_lr': 1.980406827142347e-05, 'opt_wd': 9.195114462446286e-07}"
