,score,num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,-0.1,-1,-1,1697545946,False,1,36913424,2023-10-17_12-32-26,0.9982852935791016,0.9982852935791016,54453,1105bb7c0067,172.17.0.2,0.9982852935791016,1,,64,5,5,70,104,1.1732983748479515e-05,8.884353994998318e-06,36913424
1,-0.1,-1,-1,1697545946,False,1,0e7c449a,2023-10-17_12-32-26,0.3071596622467041,0.3071596622467041,54453,1105bb7c0067,172.17.0.2,0.3071596622467041,1,,32,3,4,116,66,1.561599845055045e-05,7.894873539955642e-06,0e7c449a
2,-0.1,-1,-1,1697545947,False,1,e1f431fb,2023-10-17_12-32-27,0.3132784366607666,0.3132784366607666,54453,1105bb7c0067,172.17.0.2,0.3132784366607666,1,,128,6,13,309,68,3.60265342315728e-05,7.569459544591064e-06,e1f431fb
3,-0.1,-1,-1,1697545947,False,1,5c554b3b,2023-10-17_12-32-27,0.32666969299316406,0.32666969299316406,54453,1105bb7c0067,172.17.0.2,0.32666969299316406,1,,32,7,15,312,235,3.256685619299354e-05,3.0542665704327447e-06,5c554b3b
4,-0.1,-1,-1,1697545947,False,1,e1b6ea2b,2023-10-17_12-32-27,0.33838391304016113,0.33838391304016113,54453,1105bb7c0067,172.17.0.2,0.33838391304016113,1,,128,3,2,267,215,2.9608245333182336e-05,1.923559707824518e-06,e1b6ea2b
5,-0.1,-1,-1,1697545948,False,1,37d40251,2023-10-17_12-32-28,0.3851969242095947,0.3851969242095947,54453,1105bb7c0067,172.17.0.2,0.3851969242095947,1,,32,3,17,189,191,0.00045993193338999785,3.1094298510351207e-06,37d40251
6,-0.1,-1,-1,1697545948,False,1,90871511,2023-10-17_12-32-28,0.3308582305908203,0.3308582305908203,54453,1105bb7c0067,172.17.0.2,0.3308582305908203,1,,32,7,8,37,250,0.00032835520183291525,7.861154563719716e-06,90871511
7,-0.1,-1,-1,1697545948,False,1,77dd7b34,2023-10-17_12-32-28,0.34047460556030273,0.34047460556030273,54453,1105bb7c0067,172.17.0.2,0.34047460556030273,1,,128,6,17,376,116,1.9220906061082484e-05,3.6243599552570708e-06,77dd7b34
8,-0.1,-1,-1,1697545950,False,1,d1940d30,2023-10-17_12-32-30,0.42105650901794434,0.42105650901794434,54453,1105bb7c0067,172.17.0.2,0.42105650901794434,1,,32,4,18,331,2,7.232230317667138e-05,2.96310531595545e-06,d1940d30
9,-0.1,-1,-1,1697545951,False,1,af5c9dbb,2023-10-17_12-32-31,0.5183749198913574,0.5183749198913574,54453,1105bb7c0067,172.17.0.2,0.5183749198913574,1,,128,6,12,64,138,0.00014243211131978258,8.227402356146728e-06,af5c9dbb
10,-0.1,-1,-1,1697545951,False,1,c25a62c4,2023-10-17_12-32-31,0.5475766658782959,0.5475766658782959,54453,1105bb7c0067,172.17.0.2,0.5475766658782959,1,,32,3,12,304,87,0.00019324668310613595,2.621926169464517e-06,c25a62c4
11,-0.1,-1,-1,1697545952,False,1,058b6571,2023-10-17_12-32-32,0.3520321846008301,0.3520321846008301,54453,1105bb7c0067,172.17.0.2,0.3520321846008301,1,,256,3,14,240,169,6.395296630431662e-05,7.378242625581504e-06,058b6571
12,-0.1,-1,-1,1697545952,False,1,747dafd2,2023-10-17_12-32-32,0.3447084426879883,0.3447084426879883,54453,1105bb7c0067,172.17.0.2,0.3447084426879883,1,,64,6,6,91,93,2.7878173161163393e-05,9.053118767333325e-07,747dafd2
13,-0.1,-1,-1,1697545953,False,1,5e12781a,2023-10-17_12-32-33,0.4098656177520752,0.4098656177520752,54453,1105bb7c0067,172.17.0.2,0.4098656177520752,1,,64,3,3,255,229,1.668558243107155e-05,2.6600752046758815e-06,5e12781a
14,-0.1,-1,-1,1697545954,False,1,c61da1b8,2023-10-17_12-32-34,0.3713545799255371,0.3713545799255371,54453,1105bb7c0067,172.17.0.2,0.3713545799255371,1,,128,5,10,320,138,5.292684035320516e-05,6.885642959258188e-07,c61da1b8
15,-0.1,-1,-1,1697545954,False,1,0246ccd5,2023-10-17_12-32-34,0.3355283737182617,0.3355283737182617,54453,1105bb7c0067,172.17.0.2,0.3355283737182617,1,,128,3,8,341,109,0.0007138066751841356,3.3898540264707282e-06,0246ccd5
16,-0.1,-1,-1,1697545955,False,1,b1e4e9f1,2023-10-17_12-32-35,0.36066555976867676,0.36066555976867676,54453,1105bb7c0067,172.17.0.2,0.36066555976867676,1,,256,5,9,325,121,0.0005667394748383008,9.779293836934582e-06,b1e4e9f1
17,-0.1,-1,-1,1697545955,False,1,29c3f3ab,2023-10-17_12-32-35,0.5162265300750732,0.5162265300750732,54453,1105bb7c0067,172.17.0.2,0.5162265300750732,1,,128,6,12,331,136,2.1302323606177818e-05,7.136250010016888e-07,29c3f3ab
18,-0.1,-1,-1,1697545955,False,1,12a4e4d6,2023-10-17_12-32-35,0.3594822883605957,0.3594822883605957,54453,1105bb7c0067,172.17.0.2,0.3594822883605957,1,,32,8,8,65,123,0.00015499155524923493,1.089557909256822e-06,12a4e4d6
19,-0.1,-1,-1,1697545956,False,1,b222251b,2023-10-17_12-32-36,0.3504362106323242,0.3504362106323242,54453,1105bb7c0067,172.17.0.2,0.3504362106323242,1,,64,6,7,296,101,2.1331333207615094e-05,3.180810380823073e-06,b222251b
20,-0.1,-1,-1,1697545956,False,1,da56dd1a,2023-10-17_12-32-36,0.3759171962738037,0.3759171962738037,54453,1105bb7c0067,172.17.0.2,0.3759171962738037,1,,64,4,5,172,29,1.0064130195896792e-05,5.719889849266947e-06,da56dd1a
21,-0.1,-1,-1,1697545957,False,1,6f1d0d6a,2023-10-17_12-32-37,0.33608293533325195,0.33608293533325195,54453,1105bb7c0067,172.17.0.2,0.33608293533325195,1,,64,8,5,145,161,0.0002315763023391335,4.8166013598477564e-06,6f1d0d6a
22,-0.1,-1,-1,1697545957,False,1,1c27d8ca,2023-10-17_12-32-37,0.405364990234375,0.405364990234375,54453,1105bb7c0067,172.17.0.2,0.405364990234375,1,,64,4,6,397,39,1.0248176419744357e-05,4.820661117319357e-06,1c27d8ca
23,-0.1,-1,-1,1697545957,False,1,a2ad3f63,2023-10-17_12-32-37,0.4300973415374756,0.4300973415374756,54453,1105bb7c0067,172.17.0.2,0.4300973415374756,1,,64,4,3,177,6,1.1114835297583232e-05,5.856622891566612e-06,a2ad3f63
24,-0.1,-1,-1,1697545960,False,1,567a09ca,2023-10-17_12-32-40,0.332503080368042,0.332503080368042,54453,1105bb7c0067,172.17.0.2,0.332503080368042,1,,64,8,2,138,170,0.00023640158703529534,9.9734983875914e-06,567a09ca
25,0.5593896713615023,-1,-1,1697546407,False,1,58590598,2023-10-17_12-40-07,446.7201724052429,446.7201724052429,54453,1105bb7c0067,172.17.0.2,446.7201724052429,1,,64,2,6,390,38,1.0133039038520591e-05,4.424746347839034e-06,58590598
26,-0.1,-1,-1,1697545970,False,1,085a89a9,2023-10-17_12-32-50,0.9199228286743164,0.9199228286743164,55318,1105bb7c0067,172.17.0.2,0.9199228286743164,1,,256,5,3,214,6,1.2078933178016003e-05,6.2416666388272626e-06,085a89a9
27,-0.1,-1,-1,1697545970,False,1,2f15748d,2023-10-17_12-32-50,0.3349266052246094,0.3349266052246094,55318,1105bb7c0067,172.17.0.2,0.3349266052246094,1,,64,7,2,23,188,9.873199637708534e-05,9.865422802670168e-06,2f15748d
28,0.5328638497652582,-1,-1,1697546065,False,1,dc9baf7d,2023-10-17_12-34-25,94.51744055747986,94.51744055747986,55318,1105bb7c0067,172.17.0.2,94.51744055747986,1,,64,2,4,123,69,0.0009175952743814808,8.957602822939904e-06,dc9baf7d
29,-0.1,-1,-1,1697545977,False,1,00f7f18a,2023-10-17_12-32-57,0.9072940349578857,0.9072940349578857,55447,1105bb7c0067,172.17.0.2,0.9072940349578857,1,,256,5,4,225,50,1.4163165200522988e-05,6.680657763558148e-06,00f7f18a
30,-0.1,-1,-1,1697545977,False,1,9ec529fe,2023-10-17_12-32-57,0.3018674850463867,0.3018674850463867,55447,1105bb7c0067,172.17.0.2,0.3018674850463867,1,,64,7,10,30,196,0.00010281802460391476,9.218569025412413e-06,9ec529fe
31,-0.1,-1,-1,1697545985,False,1,2069566a,2023-10-17_12-33-05,0.3432796001434326,0.3432796001434326,55575,1105bb7c0067,172.17.0.2,0.3432796001434326,1,,64,7,5,21,158,4.483411237916724e-05,8.674361110693104e-06,2069566a
32,-0.1,-1,-1,1697545985,False,1,87555eb5,2023-10-17_12-33-05,0.3131265640258789,0.3131265640258789,55447,1105bb7c0067,172.17.0.2,0.3131265640258789,1,,256,5,7,210,59,1.4473388376398104e-05,6.828713836371891e-06,87555eb5
33,-0.1,-1,-1,1697545986,False,1,79c7dcc7,2023-10-17_12-33-06,0.3252522945404053,0.3252522945404053,55447,1105bb7c0067,172.17.0.2,0.3252522945404053,1,,64,7,11,96,205,0.0001044424856384596,9.163598889276523e-06,79c7dcc7
34,-0.1,-1,-1,1697545986,False,1,05db0ffa,2023-10-17_12-33-06,0.3524191379547119,0.3524191379547119,55575,1105bb7c0067,172.17.0.2,0.3524191379547119,1,,64,7,14,46,247,9.024695309050981e-05,9.295240268040806e-06,05db0ffa
35,-0.1,-1,-1,1697545988,False,1,28b4f671,2023-10-17_12-33-08,0.3745391368865967,0.3745391368865967,55447,1105bb7c0067,172.17.0.2,0.3745391368865967,1,,256,4,7,198,69,3.8751772233273464e-05,7.230922167865378e-06,28b4f671
36,-0.1,-1,-1,1697545988,False,1,1640f1c4,2023-10-17_12-33-08,0.40699315071105957,0.40699315071105957,55575,1105bb7c0067,172.17.0.2,0.40699315071105957,1,,64,8,15,95,216,0.00030413764338748945,8.638730739670182e-06,1640f1c4
37,-0.1,-1,-1,1697545988,False,1,935ed791,2023-10-17_12-33-08,0.4078643321990967,0.4078643321990967,55447,1105bb7c0067,172.17.0.2,0.4078643321990967,1,,32,6,16,55,247,2.5424708544819255e-05,8.20108057915582e-06,935ed791
38,-0.1,-1,-1,1697545989,False,1,a97453e2,2023-10-17_12-33-09,1.3247666358947754,1.3247666358947754,55575,1105bb7c0067,172.17.0.2,1.3247666358947754,1,,64,4,9,173,18,3.1402575640761846e-05,5.536877352191211e-06,a97453e2
39,-0.1,-1,-1,1697545989,False,1,ab69fa24,2023-10-17_12-33-09,0.3685166835784912,0.3685166835784912,55447,1105bb7c0067,172.17.0.2,0.3685166835784912,1,,32,8,5,157,156,0.0003280227045807073,4.4228919186846035e-06,ab69fa24
40,0.5640845070422535,-1,-1,1697546226,False,1,6e1ecc55,2023-10-17_12-37-06,237.40508890151978,237.40508890151978,55447,1105bb7c0067,172.17.0.2,237.40508890151978,1,,128,2,9,137,82,0.00043351169987522654,1.9644301710104503e-06,6e1ecc55
41,-0.1,-1,-1,1697545990,False,1,aae2a54f,2023-10-17_12-33-10,0.42095208168029785,0.42095208168029785,55575,1105bb7c0067,172.17.0.2,0.42095208168029785,1,,64,8,4,79,151,0.0002217987560254006,1.2454166019412403e-07,aae2a54f
42,-0.1,-1,-1,1697545990,False,1,bffe4395,2023-10-17_12-33-10,0.5278027057647705,0.5278027057647705,55575,1105bb7c0067,172.17.0.2,0.5278027057647705,1,,64,4,6,282,44,1.820947449837675e-05,3.815341002446422e-06,bffe4395
43,-0.1,-1,-1,1697545991,False,1,4c2424a6,2023-10-17_12-33-11,0.481295108795166,0.481295108795166,55575,1105bb7c0067,172.17.0.2,0.481295108795166,1,,32,3,11,354,79,1.2993383068031928e-05,5.052583071425741e-06,4c2424a6
44,-0.1,-1,-1,1697546006,False,1,b4dc0f79,2023-10-17_12-33-26,0.39217162132263184,0.39217162132263184,55575,1105bb7c0067,172.17.0.2,0.39217162132263184,1,,128,4,2,366,23,5.900191971446185e-05,7.832728549507163e-06,b4dc0f79
45,-0.1,-1,-1,1697546007,False,1,9bcfd566,2023-10-17_12-33-27,0.3875255584716797,0.3875255584716797,55575,1105bb7c0067,172.17.0.2,0.3875255584716797,1,,64,5,19,110,7,2.4825246865216193e-05,5.904984976588634e-06,9bcfd566
46,-0.1,-1,-1,1697546007,False,1,1a117180,2023-10-17_12-33-27,0.5376932621002197,0.5376932621002197,55575,1105bb7c0067,172.17.0.2,0.5376932621002197,1,,256,6,3,235,263,4.2316474060835366e-05,6.987185163431827e-06,1a117180
47,-0.1,-1,-1,1697546008,False,1,a285d00b,2023-10-17_12-33-28,0.42253923416137695,0.42253923416137695,55575,1105bb7c0067,172.17.0.2,0.42253923416137695,1,,128,7,2,117,179,0.00013622180241555808,9.61071983710207e-06,a285d00b
48,-0.1,-1,-1,1697546008,False,1,1c3ecac5,2023-10-17_12-33-28,0.4351201057434082,0.4351201057434082,55575,1105bb7c0067,172.17.0.2,0.4351201057434082,1,,32,6,3,135,174,7.85176460752938e-05,8.307538002045282e-06,1c3ecac5
49,-0.1,-1,-1,1697546008,False,1,384db067,2023-10-17_12-33-28,0.3746907711029053,0.3746907711029053,55575,1105bb7c0067,172.17.0.2,0.3746907711029053,1,,256,5,8,274,96,3.240675628748915e-05,6.285486546582862e-06,384db067
50,-0.1,-1,-1,1697546009,False,1,9ca11a2d,2023-10-17_12-33-29,0.5207188129425049,0.5207188129425049,55575,1105bb7c0067,172.17.0.2,0.5207188129425049,1,,256,5,3,249,111,2.1253417533505865e-05,7.497330947070073e-06,9ca11a2d
51,-0.1,-1,-1,1697546009,False,1,5afa8e06,2023-10-17_12-33-29,0.42217469215393066,0.42217469215393066,55575,1105bb7c0067,172.17.0.2,0.42217469215393066,1,,256,6,13,274,128,3.167191658430342e-05,6.602443834058949e-06,5afa8e06
52,-0.1,-1,-1,1697546010,False,1,20826435,2023-10-17_12-33-30,0.4811232089996338,0.4811232089996338,55575,1105bb7c0067,172.17.0.2,0.4811232089996338,1,,256,5,7,215,58,1.2798634772970825e-05,6.309261626778191e-06,20826435
53,-0.1,-1,-1,1697546010,False,1,b8b6972e,2023-10-17_12-33-30,0.42493295669555664,0.42493295669555664,55575,1105bb7c0067,172.17.0.2,0.42493295669555664,1,,256,6,4,297,103,1.6508713119018126e-05,7.75878463406323e-06,b8b6972e
54,-0.1,-1,-1,1697546011,False,1,8e6d0033,2023-10-17_12-33-31,0.4077625274658203,0.4077625274658203,55575,1105bb7c0067,172.17.0.2,0.4077625274658203,1,,256,4,4,226,56,4.811579538135408e-05,5.477711251442692e-06,8e6d0033
55,-0.1,-1,-1,1697546011,False,1,bbcc6201,2023-10-17_12-33-31,0.37395524978637695,0.37395524978637695,55575,1105bb7c0067,172.17.0.2,0.37395524978637695,1,,256,5,10,193,48,7.043654609162257e-05,3.947803250359436e-06,bbcc6201
56,-0.1,-1,-1,1697546012,False,1,2ba62b8f,2023-10-17_12-33-32,0.3496220111846924,0.3496220111846924,55575,1105bb7c0067,172.17.0.2,0.3496220111846924,1,,64,7,18,34,197,0.00012172337413069634,9.49146591976035e-06,2ba62b8f
57,-0.1,-1,-1,1697546013,False,1,363ad484,2023-10-17_12-33-33,0.480926513671875,0.480926513671875,55575,1105bb7c0067,172.17.0.2,0.480926513671875,1,,128,3,13,77,145,0.00017083775923020615,2.418401609300102e-06,363ad484
58,-0.1,-1,-1,1697546013,False,1,28987a9b,2023-10-17_12-33-33,0.4390757083892822,0.4390757083892822,55575,1105bb7c0067,172.17.0.2,0.4390757083892822,1,,256,3,8,258,75,1.6243719153083093e-05,7.195802399008284e-06,28987a9b
59,-0.1,-1,-1,1697546014,False,1,5710d8b6,2023-10-17_12-33-34,0.5513248443603516,0.5513248443603516,55575,1105bb7c0067,172.17.0.2,0.5513248443603516,1,,64,7,5,45,163,5.130126923613681e-05,8.77162980356891e-06,5710d8b6
60,-0.1,-1,-1,1697546014,False,1,03a639f3,2023-10-17_12-33-34,0.3497176170349121,0.3497176170349121,55575,1105bb7c0067,172.17.0.2,0.3497176170349121,1,,64,8,6,65,223,4.24660058483266e-05,8.307904302448628e-06,03a639f3
61,-0.1,-1,-1,1697546014,False,1,4a518372,2023-10-17_12-33-34,0.36895298957824707,0.36895298957824707,55575,1105bb7c0067,172.17.0.2,0.36895298957824707,1,,32,6,7,156,89,2.7528333980000737e-05,6.809965611869467e-06,4a518372
62,-0.1,-1,-1,1697546015,False,1,daa81e66,2023-10-17_12-33-35,0.4205284118652344,0.4205284118652344,55575,1105bb7c0067,172.17.0.2,0.4205284118652344,1,,256,5,9,205,126,2.334559029915559e-05,4.173098975633934e-06,daa81e66
63,-0.1,-1,-1,1697546015,False,1,70c36c93,2023-10-17_12-33-35,0.5571832656860352,0.5571832656860352,55575,1105bb7c0067,172.17.0.2,0.5571832656860352,1,,64,7,12,99,209,0.00043876476740209794,9.09799513575202e-06,70c36c93
64,-0.1,-1,-1,1697546016,False,1,5bf5a343,2023-10-17_12-33-36,0.559074878692627,0.559074878692627,55575,1105bb7c0067,172.17.0.2,0.559074878692627,1,,64,6,11,86,264,0.00019484294114405627,9.896473544777721e-06,5bf5a343
65,-0.1,-1,-1,1697546016,False,1,344c520b,2023-10-17_12-33-36,0.3840928077697754,0.3840928077697754,55575,1105bb7c0067,172.17.0.2,0.3840928077697754,1,,64,4,15,190,246,8.078829649127667e-05,7.269483973720181e-06,344c520b
66,-0.1,-1,-1,1697546017,False,1,31bb2af6,2023-10-17_12-33-37,0.3700716495513916,0.3700716495513916,55575,1105bb7c0067,172.17.0.2,0.3700716495513916,1,,128,3,14,57,116,0.00011275276799801113,8.048229702593678e-06,31bb2af6
67,0.5819248826291079,-1,-1,1697546187,False,1,8583d597,2023-10-17_12-36-27,169.74945497512817,169.74945497512817,55575,1105bb7c0067,172.17.0.2,169.74945497512817,1,,64,2,15,106,69,0.00030657166964499674,7.687998863955774e-06,8583d597
68,-0.1,-1,-1,1697546051,False,1,3b4020b7,2023-10-17_12-34-11,0.9822952747344971,0.9822952747344971,56338,1105bb7c0067,172.17.0.2,0.9822952747344971,1,,256,4,19,161,235,0.0009422438621335134,8.637387587965634e-06,3b4020b7
69,-0.1,-1,-1,1697546052,False,1,dca49ce1,2023-10-17_12-34-12,0.32926297187805176,0.32926297187805176,56338,1105bb7c0067,172.17.0.2,0.32926297187805176,1,,32,8,16,51,226,0.0004901275488366677,8.511339519699524e-06,dca49ce1
70,-0.1,-1,-1,1697546052,False,1,a3bf4bd4,2023-10-17_12-34-12,0.3522670269012451,0.3522670269012451,56338,1105bb7c0067,172.17.0.2,0.3522670269012451,1,,32,6,17,126,238,0.0007117267159717159,9.6162639127863e-06,a3bf4bd4
71,-0.1,-1,-1,1697546052,False,1,c762456c,2023-10-17_12-34-12,0.4442167282104492,0.4442167282104492,56338,1105bb7c0067,172.17.0.2,0.4442167282104492,1,,32,8,18,81,253,0.00028426196330224863,8.03115065757125e-06,c762456c
72,-0.1,-1,-1,1697546053,False,1,0cf5d413,2023-10-17_12-34-13,0.3968966007232666,0.3968966007232666,56338,1105bb7c0067,172.17.0.2,0.3968966007232666,1,,32,4,12,71,33,5.8283721631473873e-05,5.090475882736118e-06,0cf5d413
73,-0.1,-1,-1,1697546053,False,1,8cbf1af9,2023-10-17_12-34-13,0.40702366828918457,0.40702366828918457,56338,1105bb7c0067,172.17.0.2,0.40702366828918457,1,,256,5,13,317,129,1.9329489388676557e-05,7.4447258704087545e-06,8cbf1af9
