iteration,trial_id,score,config
54,2debf380,-0.1,"{'batch_size': 256, 'num_HL': 8, 'down_HL': 13, 'size_HL': 81, 'latent_dim': 12, 'opt_lr': 5.803326851144773e-05, 'opt_wd': 3.7391162599949005e-06}"
57,e178131d,-0.1,"{'batch_size': 128, 'num_HL': 5, 'down_HL': 13, 'size_HL': 249, 'latent_dim': 6, 'opt_lr': 4.10559767258918e-05, 'opt_wd': 5.0990682173487805e-06}"
60,07f3eed5,-0.1,"{'batch_size': 128, 'num_HL': 6, 'down_HL': 7, 'size_HL': 69, 'latent_dim': 61, 'opt_lr': 0.0008306860921497483, 'opt_wd': 1.6026594225379543e-06}"
63,cb3252d3,-0.1,"{'batch_size': 32, 'num_HL': 5, 'down_HL': 2, 'size_HL': 362, 'latent_dim': 29, 'opt_lr': 0.0005672833925824215, 'opt_wd': 4.029234017844604e-06}"
66,92f890b0,-0.1,"{'batch_size': 64, 'num_HL': 6, 'down_HL': 8, 'size_HL': 147, 'latent_dim': 89, 'opt_lr': 2.762730886090328e-05, 'opt_wd': 7.326532774788862e-06}"
69,aadf4181,-0.1,"{'batch_size': 128, 'num_HL': 7, 'down_HL': 7, 'size_HL': 241, 'latent_dim': 7, 'opt_lr': 3.424633171342844e-05, 'opt_wd': 7.969832392444653e-06}"
72,fcbf5478,-0.1,"{'batch_size': 256, 'num_HL': 4, 'down_HL': 17, 'size_HL': 334, 'latent_dim': 88, 'opt_lr': 4.1078414930791856e-05, 'opt_wd': 6.097611289744448e-06}"
75,6dc243fc,-0.1,"{'batch_size': 32, 'num_HL': 8, 'down_HL': 14, 'size_HL': 187, 'latent_dim': 57, 'opt_lr': 0.0008874346993864852, 'opt_wd': 9.902302480750265e-06}"
78,abaf760c,-0.1,"{'batch_size': 256, 'num_HL': 7, 'down_HL': 8, 'size_HL': 275, 'latent_dim': 5, 'opt_lr': 0.0008794992718228829, 'opt_wd': 5.5784857008996585e-06}"
81,bc6a0ea4,-0.1,"{'batch_size': 64, 'num_HL': 6, 'down_HL': 13, 'size_HL': 314, 'latent_dim': 26, 'opt_lr': 7.66066440009673e-05, 'opt_wd': 4.136939003786922e-07}"
84,1999c261,-0.1,"{'batch_size': 32, 'num_HL': 3, 'down_HL': 6, 'size_HL': 234, 'latent_dim': 18, 'opt_lr': 9.234353038893787e-05, 'opt_wd': 1.8071609437067128e-06}"
87,43d85f1b,-0.1,"{'batch_size': 64, 'num_HL': 3, 'down_HL': 3, 'size_HL': 269, 'latent_dim': 62, 'opt_lr': 1.6063370341600653e-05, 'opt_wd': 4.3110442944507145e-06}"
90,a3e156bd,-0.1,"{'batch_size': 64, 'num_HL': 4, 'down_HL': 14, 'size_HL': 369, 'latent_dim': 24, 'opt_lr': 3.6070292046646515e-05, 'opt_wd': 8.697381058117404e-06}"
93,38e503e9,-0.1,"{'batch_size': 256, 'num_HL': 6, 'down_HL': 8, 'size_HL': 102, 'latent_dim': 65, 'opt_lr': 0.00017551859881955243, 'opt_wd': 5.049587836641482e-06}"
96,fbe2355f,-0.1,"{'batch_size': 256, 'num_HL': 4, 'down_HL': 5, 'size_HL': 280, 'latent_dim': 42, 'opt_lr': 0.00018480580764583245, 'opt_wd': 2.362756942428074e-06}"
99,23c83979,-0.1,"{'batch_size': 256, 'num_HL': 4, 'down_HL': 4, 'size_HL': 302, 'latent_dim': 38, 'opt_lr': 0.0007515875309128719, 'opt_wd': 2.7575122432094203e-06}"
102,079c3fca,-0.1,"{'batch_size': 32, 'num_HL': 7, 'down_HL': 9, 'size_HL': 53, 'latent_dim': 37, 'opt_lr': 0.00027202089011083117, 'opt_wd': 1.1544125044626697e-06}"
105,4871e43a,-0.1,"{'batch_size': 64, 'num_HL': 8, 'down_HL': 16, 'size_HL': 307, 'latent_dim': 61, 'opt_lr': 0.0002201007721960878, 'opt_wd': 9.67002122422435e-06}"
108,23faec76,-0.1,"{'batch_size': 256, 'num_HL': 3, 'down_HL': 11, 'size_HL': 126, 'latent_dim': 80, 'opt_lr': 6.226213630104613e-05, 'opt_wd': 1.2883412028240728e-07}"
111,df8c97b4,-0.1,"{'batch_size': 32, 'num_HL': 8, 'down_HL': 15, 'size_HL': 136, 'latent_dim': 57, 'opt_lr': 2.763664968339388e-05, 'opt_wd': 6.111072341832077e-06}"
114,d19a5d16,-0.1,"{'batch_size': 64, 'num_HL': 8, 'down_HL': 18, 'size_HL': 25, 'latent_dim': 78, 'opt_lr': 0.00032843089869111144, 'opt_wd': 3.651535132643263e-06}"
117,52ecd3e4,-0.1,"{'batch_size': 256, 'num_HL': 2, 'down_HL': 11, 'size_HL': 183, 'latent_dim': 75, 'opt_lr': 6.652279294589483e-05, 'opt_wd': 4.3011146662091e-07}"
120,34bdee48,-0.1,"{'batch_size': 32, 'num_HL': 7, 'down_HL': 16, 'size_HL': 93, 'latent_dim': 52, 'opt_lr': 1.39827152491813e-05, 'opt_wd': 6.949775110096821e-06}"
123,f6e52625,-0.1,"{'batch_size': 64, 'num_HL': 8, 'down_HL': 19, 'size_HL': 29, 'latent_dim': 15, 'opt_lr': 0.00036835479921632896, 'opt_wd': 3.4103240889675678e-06}"
126,4111ce3f,-0.1,"{'batch_size': 256, 'num_HL': 5, 'down_HL': 10, 'size_HL': 190, 'latent_dim': 72, 'opt_lr': 0.0001345571149330718, 'opt_wd': 9.801715089149732e-07}"
