,score,num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,-0.1,-1,-1,1697637654,False,1,fd6fc0b4,2023-10-18_14-00-54,1.8470964431762695,1.8470964431762695,11458,ff5996df3739,172.17.0.2,1.8470964431762695,1,,128,6,13,30,209,2.4344552602258016e-05,3.818682466526058e-06,fd6fc0b4
1,-0.1,-1,-1,1697637656,False,1,6177911d,2023-10-18_14-00-56,2.034466505050659,2.034466505050659,11458,ff5996df3739,172.17.0.2,2.034466505050659,1,,128,6,16,311,327,1.2693884875770819e-05,2.9892708888401023e-06,6177911d
2,-0.1,-1,-1,1697637660,False,1,da8f3a74,2023-10-18_14-01-00,1.2664241790771484,1.2664241790771484,11458,ff5996df3739,172.17.0.2,1.2664241790771484,1,,64,6,6,222,230,0.0006370604644789742,3.4037975427934044e-06,da8f3a74
3,-0.1,-1,-1,1697637662,False,1,444142d7,2023-10-18_14-01-02,1.3022751808166504,1.3022751808166504,11458,ff5996df3739,172.17.0.2,1.3022751808166504,1,,32,4,14,110,244,0.0004353705343178704,5.6706277412139666e-06,444142d7
4,-0.1,-1,-1,1697637670,False,1,5ac17b01,2023-10-18_14-01-10,1.8143928050994873,1.8143928050994873,11731,ff5996df3739,172.17.0.2,1.8143928050994873,1,,256,4,9,272,67,0.00033074098452023383,2.213232773402495e-06,5ac17b01
5,-0.1,-1,-1,1697637671,False,1,bf971459,2023-10-18_14-01-11,1.306380271911621,1.306380271911621,11731,ff5996df3739,172.17.0.2,1.306380271911621,1,,32,3,5,301,156,0.00020132766597623575,8.785654558838722e-06,bf971459
6,-0.1,-1,-1,1697637672,False,1,6f47cad9,2023-10-18_14-01-12,1.2931480407714844,1.2931480407714844,11731,ff5996df3739,172.17.0.2,1.2931480407714844,1,,64,7,18,93,134,4.48876719897426e-05,2.4995637889934897e-06,6f47cad9
7,-0.1,-1,-1,1697637675,False,1,a9c6b984,2023-10-18_14-01-15,1.3039867877960205,1.3039867877960205,11731,ff5996df3739,172.17.0.2,1.3039867877960205,1,,128,7,16,252,57,0.00012111108451627042,8.034689431775497e-06,a9c6b984
8,-0.1,-1,-1,1697637676,False,1,cd645e43,2023-10-18_14-01-16,1.3755311965942383,1.3755311965942383,11731,ff5996df3739,172.17.0.2,1.3755311965942383,1,,32,8,5,305,203,0.00032541759726932237,1.271067809291754e-06,cd645e43
9,-0.1,-1,-1,1697637678,False,1,ee491042,2023-10-18_14-01-18,1.3381714820861816,1.3381714820861816,11731,ff5996df3739,172.17.0.2,1.3381714820861816,1,,64,7,10,332,255,4.5570377555115406e-05,6.281504269221617e-06,ee491042
