iteration,trial_id,score,config
11465112,c55f7ea6,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 3, 'size_HL': 101, 'latent_dim': 273, 'opt_lr': 0.00015942988992818897, 'opt_wd': 4.8111524379439826e-06}"
11465123,596aadd9,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 6, 'size_HL': 119, 'latent_dim': 228, 'opt_lr': 0.00030916916233952754, 'opt_wd': 4.4539827991892365e-06}"
11465126,a6ad5b37,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 4, 'size_HL': 91, 'latent_dim': 249, 'opt_lr': 0.0002356743538382906, 'opt_wd': 3.359017339004822e-06}"
11465127,fca42f15,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 5, 'size_HL': 70, 'latent_dim': 215, 'opt_lr': 0.00039079678776382537, 'opt_wd': 5.075593915232121e-06}"
11465145,14c0c2fa,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 3, 'size_HL': 116, 'latent_dim': 238, 'opt_lr': 0.00017619185930384276, 'opt_wd': 4.114697095270112e-06}"
11465158,a1cec919,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 6, 'size_HL': 86, 'latent_dim': 279, 'opt_lr': 0.000249054778570308, 'opt_wd': 4.813191764004123e-06}"
11465160,0f9e968a,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 4, 'size_HL': 130, 'latent_dim': 255, 'opt_lr': 0.0002800363376506478, 'opt_wd': 3.7648163485814927e-06}"
11465165,ccb4f634,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 2, 'size_HL': 103, 'latent_dim': 297, 'opt_lr': 0.00019629932971537806, 'opt_wd': 5.4044099237732665e-06}"
11465173,71343a3c,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 7, 'size_HL': 78, 'latent_dim': 265, 'opt_lr': 0.0004158707613248969, 'opt_wd': 4.583442544683332e-06}"
11465187,d6e3c212,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 3, 'size_HL': 112, 'latent_dim': 283, 'opt_lr': 0.00022461076660623434, 'opt_wd': 3.2030133591100393e-06}"
11465194,601f240c,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 5, 'size_HL': 135, 'latent_dim': 209, 'opt_lr': 0.0002685724296038443, 'opt_wd': 3.4934565302542075e-06}"
11465196,1af798e5,-0.1,"{'batch_size': 32, 'num_HL': 2, 'down_HL': 4, 'size_HL': 98, 'latent_dim': 241, 'opt_lr': 0.0003432138436633809, 'opt_wd': 4.35349021304826e-06}"
