iteration,trial_id,score,config
186,cfa52cf6,-0.1,"{'batch_size': 128, 'num_HL': 6, 'down_HL': 18, 'size_HL': 390, 'latent_dim': 285, 'opt_lr': 1.1921898129462358e-05, 'opt_wd': 9.986254796918389e-06}"
219,695be949,-0.1,"{'batch_size': 64, 'num_HL': 4, 'down_HL': 16, 'size_HL': 324, 'latent_dim': 83, 'opt_lr': 1.4178239288903071e-05, 'opt_wd': 7.950589767395689e-07}"
385,a65d1074,-0.1,"{'batch_size': 32, 'num_HL': 7, 'down_HL': 13, 'size_HL': 176, 'latent_dim': 251, 'opt_lr': 0.0009632337247811351, 'opt_wd': 7.14328468787046e-06}"
559,2f375a98,-0.1,"{'batch_size': 128, 'num_HL': 6, 'down_HL': 17, 'size_HL': 187, 'latent_dim': 173, 'opt_lr': 0.00010663730031815151, 'opt_wd': 3.4910794890237897e-06}"
591,8df1d3ee,-0.1,"{'batch_size': 256, 'num_HL': 4, 'down_HL': 7, 'size_HL': 205, 'latent_dim': 36, 'opt_lr': 9.257112700885366e-05, 'opt_wd': 4.047503419706362e-06}"
622,664a4e5d,-0.1,"{'batch_size': 256, 'num_HL': 5, 'down_HL': 9, 'size_HL': 283, 'latent_dim': 340, 'opt_lr': 1.9332186661122798e-05, 'opt_wd': 9.182955984907533e-06}"
657,6963391f,-0.1,"{'batch_size': 64, 'num_HL': 4, 'down_HL': 14, 'size_HL': 218, 'latent_dim': 289, 'opt_lr': 2.1963014427295018e-05, 'opt_wd': 7.414150310593997e-06}"
693,27c9a84c,-0.1,"{'batch_size': 64, 'num_HL': 7, 'down_HL': 10, 'size_HL': 298, 'latent_dim': 204, 'opt_lr': 2.2448638042853776e-05, 'opt_wd': 2.5276413459033476e-06}"
726,3523f286,-0.1,"{'batch_size': 32, 'num_HL': 8, 'down_HL': 17, 'size_HL': 247, 'latent_dim': 56, 'opt_lr': 0.0008558504723360539, 'opt_wd': 7.71727080123382e-06}"
759,2fa226f9,-0.1,"{'batch_size': 256, 'num_HL': 6, 'down_HL': 5, 'size_HL': 239, 'latent_dim': 249, 'opt_lr': 0.000385429593175726, 'opt_wd': 9.361127515623495e-06}"
