,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/down_HL,config/latent_dim,config/num_HL,config/opt_lr,config/opt_wd,config/size_HL,logdir
0,0.7208823529411765,7107.919663906097,False,1,63537396,2023-09-20_18-29-36,1695234576,7107.919663906097,267758,84233402a856,172.17.0.2,7107.919663906097,1,256,4,127,2,2.8665181940911e-05,7.633765258572505e-06,186,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_63537396_1_batch_size=256,down_HL=4,latent_dim=127,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_HL=186_2023-09-20_16-30-26"
1,-12.96721410994839,3.82669997215271,False,1,4f26d5fe,2023-09-20_16-31-54,1695227514,3.82669997215271,277270,84233402a856,172.17.0.2,3.82669997215271,1,64,18,85,7,1.440460255580588e-05,5.593992852504126e-07,251,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_4f26d5fe_2_batch_size=64,down_HL=18,latent_dim=85,num_HL=7,opt_lr=0.0000,opt_wd=0.0000,size_HL=251_2023-09-20_16-31-08"
2,0.75,1006.9382400512696,False,1,08b00953,2023-09-20_16-48-41,1695228521,1006.9382400512696,277270,84233402a856,172.17.0.2,1006.9382400512696,1,32,8,89,2,0.0007650293638965161,5.51625648849814e-06,344,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_08b00953_3_batch_size=32,down_HL=8,latent_dim=89,num_HL=2,opt_lr=0.0008,opt_wd=0.0000,size_HL=344_2023-09-20_16-31-50"
3,-15.52064584436476,3.40615463256836,True,1,b7940eb6,2023-09-20_16-32-32,1695227552,3.40615463256836,278315,84233402a856,172.17.0.2,3.40615463256836,1,64,11,261,8,6.289062907307398e-05,6.059037072542634e-06,239,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_b7940eb6_4_batch_size=64,down_HL=11,latent_dim=261,num_HL=8,opt_lr=0.0001,opt_wd=0.0000,size_HL=239_2023-09-20_16-31-54"
4,-16.77196194335732,2.5861074924468994,True,1,336fdd7b,2023-09-20_16-32-35,1695227555,2.5861074924468994,278315,84233402a856,172.17.0.2,2.5861074924468994,1,32,4,252,4,0.0004052523422121378,4.038706187447664e-06,194,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_336fdd7b_5_batch_size=32,down_HL=4,latent_dim=252,num_HL=4,opt_lr=0.0004,opt_wd=0.0000,size_HL=194_2023-09-20_16-32-29"
5,-15.642995657183643,2.1513373851776123,True,1,92a69961,2023-09-20_16-32-37,1695227557,2.1513373851776123,278315,84233402a856,172.17.0.2,2.1513373851776123,1,32,19,125,6,0.00014943044673466872,9.406230168724876e-06,218,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_92a69961_6_batch_size=32,down_HL=19,latent_dim=125,num_HL=6,opt_lr=0.0001,opt_wd=0.0000,size_HL=218_2023-09-20_16-32-33"
6,-16.65475616386552,2.235847949981689,True,1,21d233f1,2023-09-20_16-32-40,1695227560,2.235847949981689,278315,84233402a856,172.17.0.2,2.235847949981689,1,128,12,14,7,2.6831986869446264e-05,4.8173458000403e-06,99,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_21d233f1_7_batch_size=128,down_HL=12,latent_dim=14,num_HL=7,opt_lr=0.0000,opt_wd=0.0000,size_HL=99_2023-09-20_16-32-35"
7,-16.859699316461366,2.1648221015930176,True,1,36fcc0fa,2023-09-20_16-32-42,1695227562,2.1648221015930176,278315,84233402a856,172.17.0.2,2.1648221015930176,1,256,17,331,7,0.0003081029270984931,2.8075027369761642e-08,363,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_36fcc0fa_8_batch_size=256,down_HL=17,latent_dim=331,num_HL=7,opt_lr=0.0003,opt_wd=0.0000,size_HL=363_2023-09-20_16-32-38"
8,-19.253663480648317,2.536771535873413,True,1,d52f6abe,2023-09-20_16-32-45,1695227565,2.536771535873413,278315,84233402a856,172.17.0.2,2.536771535873413,1,256,12,253,8,0.0001325959160700436,2.0978085625672893e-06,218,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_d52f6abe_9_batch_size=256,down_HL=12,latent_dim=253,num_HL=8,opt_lr=0.0001,opt_wd=0.0000,size_HL=218_2023-09-20_16-32-40"
9,-14.55678541023074,2.347618341445923,False,1,f5e9b0a3,2023-09-20_16-32-48,1695227568,2.347618341445923,278315,84233402a856,172.17.0.2,2.347618341445923,1,256,9,108,3,1.3608334284208705e-05,4.145515610610917e-06,199,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_f5e9b0a3_10_batch_size=256,down_HL=9,latent_dim=108,num_HL=3,opt_lr=0.0000,opt_wd=0.0000,size_HL=199_2023-09-20_16-32-42"
