iteration,trial_id,score,config
168,360ad091,-0.1,"{'umap_ncomp': 219, 'umap_spread': 0.48904964087316194, 'umap_mdist': 0.8016543718489877, 'umap_neigh': 75, 'umap_epochs': 335}"
377,31b48142,-0.1,"{'umap_ncomp': 247, 'umap_spread': 0.6772110145517809, 'umap_mdist': 1.166545204265264, 'umap_neigh': 145, 'umap_epochs': 373}"
394,b4a20807,-0.1,"{'umap_ncomp': 256, 'umap_spread': 0.023763003667715443, 'umap_mdist': 0.448618683334324, 'umap_neigh': 158, 'umap_epochs': 366}"
546,543ca825,-0.1,"{'umap_ncomp': 192, 'umap_spread': 1.0664535849741685, 'umap_mdist': 1.2334896576593255, 'umap_neigh': 127, 'umap_epochs': 247}"
666,243491af,0.3176470588235294,"{'umap_ncomp': 54, 'umap_spread': 1.7802642007764629, 'umap_mdist': 0.15152457291193655, 'umap_neigh': 117, 'umap_epochs': 284}"
683,a40fd606,-0.1,"{'umap_ncomp': 70, 'umap_spread': 0.27411527762660515, 'umap_mdist': 0.9658629866034278, 'umap_neigh': 6, 'umap_epochs': 582}"
699,8ff999a1,-0.1,"{'umap_ncomp': 253, 'umap_spread': 0.03154242791565287, 'umap_mdist': 1.7046533243012458, 'umap_neigh': 11, 'umap_epochs': 205}"
715,f6f6fc20,-0.1,"{'umap_ncomp': 246, 'umap_spread': 0.20920650684016295, 'umap_mdist': 1.6223546642367728, 'umap_neigh': 58, 'umap_epochs': 340}"
730,d8d22610,-0.1,"{'umap_ncomp': 96, 'umap_spread': 1.4310145019234364, 'umap_mdist': 1.9052679484463364, 'umap_neigh': 40, 'umap_epochs': 411}"
747,91c4775f,-0.1,"{'umap_ncomp': 46, 'umap_spread': 0.1979241704357002, 'umap_mdist': 0.32872133472730325, 'umap_neigh': 8, 'umap_epochs': 434}"
762,78726751,-0.1,"{'umap_ncomp': 241, 'umap_spread': 0.8100573875927468, 'umap_mdist': 1.8203919519701255, 'umap_neigh': 100, 'umap_epochs': 349}"
778,48362c07,-0.1,"{'umap_ncomp': 188, 'umap_spread': 1.4669636555521626, 'umap_mdist': 1.7262921858483147, 'umap_neigh': 13, 'umap_epochs': 216}"
794,710d9050,-0.1,"{'umap_ncomp': 3, 'umap_spread': 1.268044474443483, 'umap_mdist': 1.5195076905390088, 'umap_neigh': 168, 'umap_epochs': 584}"
809,224cb984,-0.1,"{'umap_ncomp': 76, 'umap_spread': 1.1714476248039813, 'umap_mdist': 1.185981271302589, 'umap_neigh': 5, 'umap_epochs': 162}"
1078,790b416b,-0.1,"{'umap_ncomp': 115, 'umap_spread': 0.17751016750993553, 'umap_mdist': 0.3872694641386787, 'umap_neigh': 138, 'umap_epochs': 169}"
1093,ba759018,-0.1,"{'umap_ncomp': 73, 'umap_spread': 0.24526317619428917, 'umap_mdist': 1.6326551867206336, 'umap_neigh': 162, 'umap_epochs': 238}"
1108,3d7d1a35,-0.1,"{'umap_ncomp': 16, 'umap_spread': 0.5739526325990902, 'umap_mdist': 0.763484652151435, 'umap_neigh': 96, 'umap_epochs': 489}"
1123,955d9289,-0.1,"{'umap_ncomp': 166, 'umap_spread': 0.48725793332757317, 'umap_mdist': 0.7048666641815868, 'umap_neigh': 86, 'umap_epochs': 295}"
1151,3e2c8a1a,0.671764705882353,"{'umap_ncomp': 63, 'umap_spread': 0.9103073850395369, 'umap_mdist': 0.09968146441489378, 'umap_neigh': 7, 'umap_epochs': 270}"
1185,b8f0b7de,0.5411764705882353,"{'umap_ncomp': 147, 'umap_spread': 1.723867819313154, 'umap_mdist': 0.15265138552230417, 'umap_neigh': 52, 'umap_epochs': 421}"
1503,9c297fa5,0.5058823529411764,"{'umap_ncomp': 235, 'umap_spread': 1.724076037083108, 'umap_mdist': 0.5064353605108045, 'umap_neigh': 56, 'umap_epochs': 584}"
1612,a1ae1920,0.3323529411764706,"{'umap_ncomp': 37, 'umap_spread': 1.9700420771878278, 'umap_mdist': 0.2293184023593464, 'umap_neigh': 112, 'umap_epochs': 279}"
1699,2222823e,0.23529411764705882,"{'umap_ncomp': 36, 'umap_spread': 0.9357135894703936, 'umap_mdist': 0.011826998858245008, 'umap_neigh': 188, 'umap_epochs': 261}"
1768,f58ba7ac,0.3029411764705882,"{'umap_ncomp': 132, 'umap_spread': 0.42803413095165754, 'umap_mdist': 0.0377831458578283, 'umap_neigh': 120, 'umap_epochs': 511}"
