iteration,trial_id,score,config
451,e31e4946,0.3576470588235294,"{'umap_ncomp': 2, 'umap_spread': 1.3556067575545343, 'umap_mdist': 0.6287580284440131, 'umap_neigh': 95, 'umap_epochs': 196}"
849,d27d5988,0.4676470588235294,"{'umap_ncomp': 147, 'umap_spread': 1.7356157812078064, 'umap_mdist': 0.908589792625718, 'umap_neigh': 73, 'umap_epochs': 192}"
1073,b473b128,0.593235294117647,"{'umap_ncomp': 97, 'umap_spread': 1.7772793214227023, 'umap_mdist': 0.22462456584748858, 'umap_neigh': 27, 'umap_epochs': 536}"
1153,f291a556,0.3,"{'umap_ncomp': 181, 'umap_spread': 1.0811782071996152, 'umap_mdist': 0.5430044435954733, 'umap_neigh': 186, 'umap_epochs': 447}"
1401,04965c51,0.7294117647058823,"{'umap_ncomp': 195, 'umap_spread': 1.691376000736153, 'umap_mdist': 0.8819706451516051, 'umap_neigh': 3, 'umap_epochs': 527}"
1402,7b5f2a2c,0.6938235294117647,"{'umap_ncomp': 38, 'umap_spread': 1.011031396243597, 'umap_mdist': 0.8149899351245251, 'umap_neigh': 21, 'umap_epochs': 470}"
1403,ed8784fe,0.3058823529411765,"{'umap_ncomp': 69, 'umap_spread': 1.288603093728983, 'umap_mdist': 0.5811133722004341, 'umap_neigh': 165, 'umap_epochs': 439}"
1560,d90b481e,0.3,"{'umap_ncomp': 82, 'umap_spread': 1.9452332340928422, 'umap_mdist': 0.7226020193592971, 'umap_neigh': 141, 'umap_epochs': 521}"
1631,31bbaf90,0.5652941176470587,"{'umap_ncomp': 5, 'umap_spread': 1.9158214159121918, 'umap_mdist': 0.10388816128757583, 'umap_neigh': 35, 'umap_epochs': 263}"
1995,bcfce203,0.2823529411764706,"{'umap_ncomp': 70, 'umap_spread': 1.411154426015771, 'umap_mdist': 0.5831987854453841, 'umap_neigh': 142, 'umap_epochs': 472}"
2104,e8e2be41,0.34705882352941175,"{'umap_ncomp': 221, 'umap_spread': 1.1522080872484728, 'umap_mdist': 0.5981429588726052, 'umap_neigh': 113, 'umap_epochs': 578}"
2171,0e173f8f,0.3382352941176471,"{'umap_ncomp': 13, 'umap_spread': 1.063227034140965, 'umap_mdist': 0.3396119946018791, 'umap_neigh': 96, 'umap_epochs': 229}"
2207,d81f93a1,0.38823529411764707,"{'umap_ncomp': 218, 'umap_spread': 1.6942267053885798, 'umap_mdist': 0.12776917964882228, 'umap_neigh': 98, 'umap_epochs': 308}"
2214,e14dadb8,0.6264705882352941,"{'umap_ncomp': 145, 'umap_spread': 1.5662444370108477, 'umap_mdist': 0.8016012289121678, 'umap_neigh': 30, 'umap_epochs': 224}"
2301,ffbd9dd7,0.6176470588235294,"{'umap_ncomp': 216, 'umap_spread': 1.306834596455757, 'umap_mdist': 0.8828082300365971, 'umap_neigh': 33, 'umap_epochs': 345}"
2336,6cd25af4,0.25705882352941173,"{'umap_ncomp': 2, 'umap_spread': 1.775202068668305, 'umap_mdist': 0.21866119777791082, 'umap_neigh': 199, 'umap_epochs': 578}"
2342,bffa0838,0.6982352941176471,"{'umap_ncomp': 228, 'umap_spread': 1.9184269779238152, 'umap_mdist': 0.6228058657443811, 'umap_neigh': 7, 'umap_epochs': 549}"
2513,fd7a5e6d,0.40588235294117647,"{'umap_ncomp': 91, 'umap_spread': 1.0261158398794437, 'umap_mdist': 0.7870446826778356, 'umap_neigh': 109, 'umap_epochs': 239}"
